country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,44.1,44.1,44.1,41.1,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2
Angola,26.5,30.9,35.3,33.9,32.4,32.4,32.4,32.4,32.4,32.4,29.4,29.4,29.4,29.4,26.5
Albania,70.6,70.6,70.6,72,73.5,73.5,73.5,73.5,73.5,76.5,76.5,76.5,76.5,76.5,73.5
United Arab Emirates,29.4,29.4,29.4,29.4,29.4,32.4,32.4,29.4,29.4,29.4,29.4,26.5,26.5,26.5,23.5
Argentina,82.4,82.4,82.4,80.9,79.4,79.4,79.4,79.4,79.4,79.4,76.5,76.5,82.4,82.4,79.4
Armenia,61.8,60.3,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,55.9,55.9,55.9,50
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.1
Austria,91.2,91.2,91.2,91.2,91.2,91.2,94.1,94.1,94.1,94.1,94.1,91.2,88.2,88.2,85.3
Azerbaijan,55.9,53,50,48.5,47.1,47.1,47.1,47.1,44.1,38.2,35.3,35.3,35.3,35.3,29.4
Burundi,47.1,47.1,47.1,42.6,38.2,38.2,35.3,29.4,29.4,26.5,26.5,23.5,23.5,23.5,23.5
Belgium,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,88.2,85.3,85.3,85.3,82.4
Benin,67.6,66.2,64.7,64.7,64.7,64.7,61.8,58.8,58.8,58.8,58.8,55.9,58.8,50,47.1
Burkina Faso,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,47.1,47.1,50,50,41.2,38.2
Bangladesh,73.5,73.5,73.5,72,70.6,70.6,70.6,70.6,70.6,67.6,67.6,52.9,50,50,47.1
Bulgaria,85.3,86.8,88.2,88.2,88.2,85.3,82.4,82.4,82.4,82.4,82.4,79.4,79.4,79.4,70.6
Bahrain,38.2,36.8,35.3,35.3,35.3,26.5,17.6,23.5,23.5,23.5,23.5,23.5,23.5,20.6,17.6
Bosnia and Herzegovina,79.4,79.4,79.4,78,76.5,76.5,73.5,73.5,67.6,64.7,61.8,61.8,61.8,58.8,55.9
Belarus,35.3,35.3,35.3,35.3,35.3,29.4,23.5,23.5,26.5,26.5,26.5,23.5,23.5,23.5,20.6
Bolivia,76.5,78,79.4,76.5,73.5,73.5,73.5,76.5,76.5,76.5,70.6,70.6,70.6,67.6,58.8
Brazil,94.1,94.1,94.1,92.7,91.2,91.2,91.2,91.2,91.2,91.2,88.2,82.4,82.4,82.4,79.4
Bhutan,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,38.2,38.2,38.2,38.2,38.2,47.1
Botswana,91.2,92.7,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,91.2,91.2,91.2,85.3
Central African Republic,26.5,27.9,29.4,27.9,26.5,26.5,29.4,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,97.1,94.1
Switzerland,97.1,97.1,97.1,95.6,94.1,94.1,94.1,94.1,94.1,94.1,94.1,91.2,91.2,91.2,88.2
Chile,97.1,97.1,97.1,95.6,94.1,94.1,94.1,97.1,97.1,97.1,94.1,91.2,91.2,91.2,88.2
China,11.8,11.8,11.8,11.8,11.8,11.8,14.7,14.7,14.7,14.7,14.7,14.7,14.7,11.8,11.8
Cote d'Ivoire,38.2,38.2,38.2,36.8,35.3,35.3,38.2,38.2,38.2,38.2,38.2,41.2,41.2,41.2,38.2
Cameroon,38.2,39.7,41.2,39.7,38.2,38.2,38.2,38.2,38.2,38.2,38.2,29.4,26.5,23.5,23.5
"Congo, Dem. Rep.",23.5,23.5,23.5,20.6,17.6,17.6,17.6,17.6,17.6,17.6,8.8,8.8,8.8,8.8,8.8
"Congo, Rep.",38.2,36.8,35.3,33.9,32.4,32.4,32.4,32.4,32.4,29.4,29.4,29.4,32.4,32.4,32.4
Colombia,91.2,89.7,88.2,88.2,88.2,88.2,88.2,88.2,88.2,85.3,82.4,79.4,82.4,85.3,79.4
Comoros,32.4,32.4,32.4,35.3,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,35.3
Cape Verde,82.4,86.8,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,88.2,88.2,88.2,85.3
Costa Rica,94.1,94.1,94.1,94.1,94.1,97.1,97.1,97.1,97.1,97.1,97.1,91.2,91.2,94.1,97.1
Cuba,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,26.5,26.5,26.5,29.4,29.4
Cyprus,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,88.2,88.2,88.2,85.3
Czech Republic,91.2,92.7,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,88.2,85.3,85.3,85.3,85.3
Germany,94.1,94.1,94.1,92.7,91.2,91.2,91.2,91.2,91.2,91.2,97.1,94.1,94.1,94.1,91.2
Djibouti,23.5,23.5,23.5,25,26.5,29.4,32.4,32.4,26.5,26.5,26.5,26.5,26.5,26.5,23.5
Denmark,97.1,97.1,97.1,97.1,97.1,97.1,97.1,94.1,94.1,94.1,94.1,91.2,91.2,91.2,91.2
Dominican Republic,82.4,82.4,82.4,82.4,82.4,82.4,76.5,76.5,76.5,76.5,76.5,70.6,70.6,70.6,70.6
Algeria,35.3,39.7,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,41.2,41.2,38.2,41.2,
Ecuador,79.4,79.4,79.4,78,76.5,73.5,70.6,70.6,70.6,70.6,67.6,67.6,67.6,70.6,64.7
Egypt,35.3,38.3,41.2,38.3,35.3,38.2,41.2,29.4,26.5,29.4,29.4,29.4,29.4,23.5,17.6
Eritrea,20.6,20.6,20.6,20.6,20.6,14.7,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8
Spain,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,88.2,88.2,88.2,85.3
Estonia,91.2,89.7,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,85.3,85.3,85.3,82.4
Ethiopia,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,38.2,38.2,32.4,23.5,26.5,26.5,23.5
Finland,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,94.1
Fiji,82.4,80.9,79.4,72,64.7,61.8,61.8,58.8,58.8,58.8,55.9,55.9,55.9,55.9,52.9
France,91.2,91.2,91.2,88.3,85.3,85.3,85.3,85.3,88.2,88.2,88.2,85.3,85.3,85.3,82.4
Gabon,20.6,29.4,38.2,38.2,38.2,41.2,41.2,41.2,41.2,41.2,38.2,38.2,38.2,38.2,38.2
United Kingdom,91.2,89.7,88.2,89.7,91.2,91.2,91.2,94.1,94.1,94.1,91.2,91.2,91.2,91.2,88.2
Georgia,64.7,64.7,64.7,63.3,61.8,61.8,61.8,58.8,58.8,58.8,55.9,55.9,55.9,55.9,52.9
Ghana,58.8,58.8,58.8,63.2,67.6,67.6,67.6,67.6,67.6,73.5,73.5,64.7,61.8,61.8,58.8
Guinea,23.5,26.4,29.4,29.4,29.4,29.4,29.4,26.5,29.4,29.4,29.4,29.4,29.4,29.4,26.5
Gambia,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,23.5,23.5,23.5,29.4,38.2,44.1,41.2
Guinea-Bissau,26.5,29.4,32.4,32.4,32.4,32.4,26.5,23.5,20.6,20.6,23.5,23.5,23.5,23.5,23.5
Equatorial Guinea,14.7,17.6,20.6,19.1,17.6,14.7,17.6,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
Greece,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,88.2,85.3,85.3,85.3,85.3
Guatemala,76.5,76.5,76.5,75,73.5,73.5,73.5,73.5,73.5,73.5,73.5,67.6,64.7,64.7,58.8
Guyana,82.4,82.4,82.4,76.5,70.6,70.6,70.6,70.6,70.6,70.6,70.6,73.5,73.5,73.5,70.6
"Hong Kong, China",97.1,95.6,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,85.3,85.3,85.3,85.3
Honduras,70.6,70.6,70.6,69.1,67.6,64.7,64.7,64.7,64.7,64.7,64.7,61.8,61.8,61.8,58.8
Croatia,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,79.4,73.5,70.6,70.6,67.6
Haiti,64.7,64.7,64.7,64.7,64.7,64.7,64.7,67.6,67.6,67.6,67.6,61.8,58.8,58.8,55.9
Hungary,94.1,92.7,91.2,88.3,85.3,82.4,82.4,82.4,79.4,76.5,70.6,70.6,70.6,70.6,67.6
Indonesia,67.6,67.6,67.6,69.1,70.6,70.6,76.5,67.6,73.5,73.5,70.6,55.9,55.9,55.9,55.9
India,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,91.2,91.2,73.5,73.5,67.6,55.9
Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.1
Iran,14.7,17.6,20.6,19.1,17.6,17.6,17.6,17.6,17.6,14.7,14.7,14.7,14.7,14.7,
Iraq,41.2,41.2,41.2,45.6,50,44.1,44.1,44.1,44.1,44.1,44.1,38.2,38.2,17.6,11.8
Iceland,100,98.5,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,94.1
Israel,52.9,52.9,52.9,52.9,52.9,55.9,55.9,55.9,58.8,61.8,61.8,58.8,58.8,58.8,55.9
Italy,88.2,89.7,91.2,88.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,82.4,79.4,79.4
Jamaica,91.2,89.7,88.2,88.2,88.2,88.2,91.2,91.2,91.2,91.2,91.2,88.2,85.3,82.4,85.3
Jordan,38.2,38.2,38.2,38.2,38.2,38.2,35.3,35.3,35.3,35.3,32.4,32.4,35.3,35.3,32.4
Japan,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,88.2,88.2,88.2,88.2,88.2,85.3
