Pays	Score 2020	Score 2018	Score 2016
Pays-Bas, Le	95,44	91,33	91,7
le Portugal	95,43	86,93	83,8
Canada	91,94	86,58	76,58
Belgique	90,82	78,98	79,35
Uruguay	89,99	84,5	88,75
Luxembourg	87,61	72,23	72,6
L'Autriche	86,06	72,13	71,13
Espagne	86,05	81,6	78,6
Mexique	85,14	81,33	75,53
Italie	84,61	66,38	64,25
Allemagne	84,53	83.03	78,03
Danemark	83,39	71,08	66,33
la Suisse	83,28	80,88	72,38
République Tchèque	83,21	83,63	80,5
Australie	82,8	66,48	61,35
Colombie	81,15	76,15	74,98
Argentine	77,82	71,08	64,45
Slovénie	76,47	69,63	70
Nouvelle-Zélande	76,45	66,38	65,25
Norvège	76,15	62,5	59,63
Finlande	75,57	65,83	60,58
France	75	68,15	69,93
Afrique du Sud	74,62	61,33	61,7
Brésil	74,46	68,93	69,3
Grèce	74,42	65,88	61,38
Irlande	74,39	64,05	57,33
Israël	74,27	50,53	46,28
États Unis	73,68	79,15	78,2
Croatie	73,04	59,5	59,13
Chili	72,43	63,28	59,4
Equateur	72,37	65,13	64,75
Estonie	72.02	69.03	69,4
Suède	71,69	65,95	66,95
Malte	70,73	55,33	45,2
Chypre	70,34	53,35	53,73
Géorgie	70	49,25	46,63
Hongrie	69,27	64,75	59,88
Royaume-Uni	69,2	60,63	58,05
Pérou	67,47	60,58	59,08
Bulgarie	66,8	52,45	53,33
Islande	65,99	54,08	52,95
Macédoine	64,78	53,75	54,13
Slovaquie	64,24	61,95	62,33
Pologne	64,22	52,7	50,08
Lettonie	63,98	59,25	59,63
Bolivie	62,3	65,3	65,3
Jamaïque	62,06	53,5	53,88
Costa Rica	62.03	53,45	53,08
Serbie	61,43	53,13	53,13
Honduras	60,84	42,45	42,45
Bosnie Herzégovine	60,36	55,25	55,63
Lituanie	59,56	52,25	52,63
Moldavie	57,74	52,5	52,88
Roumanie	57,73	56,5	52
Trinité-et-Tobago	57,6	45,38	45,75
Saint-Vincent-et-les-Grenadines	57,2	48,38	48,75
Paraguay	56,38	55,63	54,13
Monténégro	56,28	59,65	60,03
Panama	55,2	51,75	51,75
Arménie	55,13	49,95	49,58
Albanie	54,69	53,13	53,5
Mongolie	54,4	47,7	48,08
COREE DU SUD	54,38	46,38	44,88
Japon	53,53	50,85	50,85
Saint Marin	53,43	49,55	48,43
Mozambique	53,41	49,7	50,08
Singapour	53,32	45,7	46,08
Kenya	53,19	36,95	37,33
Ukraine	52,88	47,58	47,58
Inde	51,39	56,35	57,03
Sénégal	51,15	47,25	47,63
Guinée-Bissau	51,12	45,25	45,63
Andorre	50,96	45	46,13
Ghana	50,62	48,63	49
Mali	50,3	39,3	41,55
Tadjikistan	50,29	47,5	48,38
Madagascar	49,7	46,33	46,7
Botswana	49,53	39,5	39,88
Kazakhstan	49,22	50,7	51,08
Guatemala	48,6	43,83	43,45
Kirghizistan	48,52	46	46,38
Tunisie	48,35	42,58	42,58
Liban	48,2	33,9	33,9
Biélorussie	47,7	45,7	46,08
Guinée	47,69	49	49,38
Népal	47,59	48,83	49,58
Bahamas, Le	47,52	45,5	45,88
Le Salvador	47,38	39,2	37,7
Monaco	46,7	48,95	47,08
Sainte-Lucie	46,64	45,88	46,25
Malawi	46,47	48,45	48,83
les Seychelles	46,36	47,88	48,25
Libéria	46,33	45,5	45,88
Nicaragua	46,15	36,33	36,33
L'Angola	46,09	36,13	36,5
Côte d'Ivoire	45,65	46,7	46,33
Russie	45,47	54	52,88
Venezuela	45,43	50,38	50,75
Cambodge	45,38	70,5	70,5
Suriname	44,8	45	45,38
Ethiopie	44,57	34,25	34,63
Guyane	44,12	51,45	51,83
Les îles Salomon	44,12	45,75	46,13
Gambie, La	43,62	45,43	45,8
Cuba	43,53	49	50,88
Tonga	43,4	40,38	40,75
Azerbaïdjan	42,47	42,3	42,68
Turquie	42,14	48.03	50,78
Cameroun	41,6	45,88	46,25
Haïti	41,11	43,75	44,13
Zimbabwe	40,89	43,7	44,08
Ile Maurice	40,74	45,38	45,75
Philippines, Le	40,4	39,63	39,63
Dominique	39,48	42,75	43,13
Tuvalu	38,77	41,93	40,05
République Dominicaine	38,31	40,78	38,9
Laos	38,26	44,25	44,63
Comores	38,14	29,25	28,13
Vietnam	37,9	35,38	33,88
Eswatini	37,63	41,5	41,88
Chine	36,86	39,3	40
Ouzbékistan	36,73	43,93	43,93
Sri Lanka	36,39	21,9	21,9
Thaïlande	36,2	29,38	30,75
Guinée Équatoriale	35,96	43,13	43,88
Corée du Nord	35,75	34,5	34,5
Nigeria	35,5	27,28	28,03
Papouasie Nouvelle Guinée	35,41	43,25	43,63
Malaisie	34,53	26,2	25,08
Algérie	34,35	20,25	20,63
République centrafricaine	33,5	37,23	37,6
Rwanda	32,66	36,2	36,58
Ouganda	32,34	41,88	41,88
Maroc	32,06	26,2	27,08
Bangladesh	31,38	28,53	28,9
Indonésie	30,61	22,93	21,43
Myanmar	29,79	26,13	27,63
Jordan	29,58	35,88	35,88
Érythrée	27.03	26,8	26,8
Turkménistan	26,89	36,88	36,88
Djibouti	26,73	29,13	29,5
Mauritanie	24,44	28,73	28,73
Egypte	24,42	17,25	16,88
Pakistan	22,2	18.05	18,05
Irak	21,8	12,63	13
Bahreïn	21,55	21,25	21,63
Qatar	20,47	15,63	15,63
Maldives	20,28	25,75	25,75
Syrie	19,78	23,3	23,3
Libye	17,98	21	22
Brunei	16,05	19,88	18,75
Koweit	16,02	15,93	15,93
Oman	15,77	20,63	20,63
L'Iran	15,51	17,75	16,63
Somalie	15,13	22,25	22,25
Soudan	14,79	21,43	21,43
Arabie Saoudite	12,86	10,13	7,75
Emirats Arabes Unis	12,14	11,5	15,38
Yémen	10,19	11,23	11,23
L'Afghanistan	9,59	16,5	16,88
